Sexo,Idade,Renda,Altura
0,50,1550,1.787377877
0,53,1800,1.608399085
0,67,1500,1.763905316
0,52,20000,1.635818853
0,42,3000,1.738460556
1,66,1600,1.826377869
0,47,788,1.738136803
0,60,1400,1.72215259
0,29,580,1.682925706
0,55,1500,1.727120107
0,55,1000,1.76526822
0,56,100,1.731027167
0,69,0,1.611123982
0,51,1000,1.615538212
1,25,390,1.629709329
0,49,788,1.726483566
0,61,1800,1.538167873
1,54,400,1.738933215
0,37,1500,1.651192628
0,39,2000,1.666723724
0,52,350,1.781144172
0,48,1600,1.71785355
0,40,1600,1.513863366
0,73,1000,1.553525857
0,49,788,1.72315498
0,45,3000,1.743084772
0,80,2000,1.66802203
0,45,10000,1.7471745
1,34,900,1.777475303
0,65,6000,1.840835531
1,23,1600,1.730926053
0,52,1300,1.723572813
1,32,1400,1.559549881
1,36,1400,1.729987752
0,28,3500,1.592238852
0,48,2500,1.636973911
0,36,1700,1.654289422
0,48,4500,1.732583823
1,42,1700,1.627887329
1,46,4124,1.718625846
1,51,1500,1.59485698
0,26,1200,1.731993035
0,25,1000,1.871046059
0,27,1200,1.763705326
0,28,1600,1.579531361
1,37,950,1.709822149
0,26,1500,1.674497651
0,27,1500,1.692249071
0,41,4000,1.706601775
0,49,900,1.772734561
0,32,6000,1.727408774
0,41,3000,1.778035651
0,30,6000,1.735782272
0,79,0,1.787522442
0,52,2200,1.789394412
0,36,2000,1.639359278
0,35,4000,1.738335643
0,50,1000,1.743165296
0,53,1400,1.554162354
1,32,788,1.772603355
1,36,788,1.677731391
0,52,1700,1.684526315
0,55,1000,1.727906955
0,42,3000,1.720236047
0,35,1500,1.679200749
0,71,1100,1.739955274
0,31,1000,1.758267501
1,43,1100,1.717289179
0,51,1200,1.660772859
0,37,2580,1.649140632
0,38,1900,1.707080223
1,35,2150,1.679997644
0,26,1800,1.73665454
1,50,300,1.681007713
0,59,1300,1.691254559
0,25,788,1.714962843
1,42,2800,1.72502471
0,41,1440,1.660942452
0,38,850,1.711345558
1,36,9000,1.724220376
0,32,7800,1.729626334
0,45,1200,1.614643223
1,26,1500,1.656445512
1,28,3000,1.668200817
0,29,400,1.648669596
1,30,550,1.837242863
1,36,1200,1.741514536
0,25,1500,1.735279131
0,26,1100,1.758025719
1,44,900,1.61644168
1,19,2300,1.804838993
0,34,8000,1.649053073
0,36,1400,1.807143241
1,36,5000,1.654739706
0,39,2500,1.65973197
0,32,1490,1.833820401
0,57,2300,1.752300365
1,28,430,1.739136095
0,28,400,1.636523743
1,36,300,1.749389281
0,46,160,1.700809575
0,49,900,1.594849162
0,39,688,1.844883796
0,49,400,1.654019078
0,55,1000,1.816873908
0,60,0,1.715936556
0,55,8000,1.837528846
1,22,805,1.815143228
0,42,6000,1.740019168
0,35,2000,1.610327007
0,38,850,1.776701002
0,29,5200,1.605596826
0,66,789,1.710531655
0,48,2000,1.60734188
0,34,5000,1.671755171
1,49,400,1.606770127
0,49,1800,1.564118322
0,62,4000,1.712222929
0,28,1000,1.745179769
1,32,200,1.612323235
0,41,250,1.811847854
0,52,800,1.727525317
0,43,1600,1.759334993
0,39,800,1.679203572
0,37,1600,1.728953956
0,67,1000,1.643999861
0,54,2500,1.735019871
0,77,250,1.791420938
0,64,1000,1.715299407
0,58,10000,1.722839364
0,57,1200,1.804646938
0,43,1200,1.778950307
0,64,3000,1.705584335
0,52,1200,1.733608819
0,52,2500,1.753327657
1,26,1000,1.817722725
0,41,2700,1.706976565
0,24,1300,1.772257117
1,31,500,1.76083604
1,29,1000,1.711327999
0,41,1500,1.76445333
0,44,1900,1.634594403
1,38,1300,1.721233932
1,62,300,1.62495925
0,59,788,1.784691602
1,60,788,1.709539664
0,48,2500,1.740528997
0,56,788,1.721948047
1,32,1020,1.624170747
1,43,600,1.610421713
1,26,1920,1.715418767
0,57,1500,1.730241951
0,39,788,1.587156567
0,45,1000,1.794884073
0,51,2500,1.715059812
0,34,789,1.838923596
1,40,830,1.631127346
1,36,1000,1.530269667
0,55,1800,1.755595003
0,49,2300,1.835355316
0,39,800,1.672349006
1,39,788,1.641681806
1,38,1200,1.700708687
1,17,230,1.840929648
0,51,2364,1.617595593
1,56,500,1.609445009
1,45,1800,1.709539346
0,57,3650,1.638209027
0,69,850,1.699977664
1,38,0,1.726380083
0,31,2000,1.533781023
0,54,1500,1.793828782
0,41,700,1.785477747
0,43,750,1.608269896
0,40,800,1.698189024
0,39,1200,1.664920063
0,42,1400,1.729185303
0,58,750,1.654449975
1,23,300,1.822339604
1,43,788,1.530682737
0,38,400,1.840644739
0,38,400,1.754663691
1,38,788,1.698167372
0,37,788,1.594890204
1,59,1500,1.534158814
0,50,1500,1.680383502
0,31,3000,1.7207937
0,44,1400,1.781007987
0,27,1000,1.634692307
1,36,800,1.879012232
0,37,800,1.730865592
0,49,700,1.858994735
0,55,900,1.731334193
0,37,788,1.81014312
1,52,788,1.553276832
1,38,400,1.77528698
1,66,2000,1.729180189
0,63,3000,1.849865103
1,31,300,1.770795407
1,49,1300,1.79307671
0,46,1200,1.720288563
0,45,1500,1.776154971
1,33,200,1.72527463
0,58,1600,1.672713166
0,54,1200,1.553054861
0,72,1500,1.734895336
0,70,400,1.604257134
0,50,350,1.739618858
0,64,2400,1.745479841
0,61,0,1.598207291
0,53,788,1.837902771
0,38,800,1.651160293
0,72,0,1.657999179
0,22,1100,1.779518039
0,50,2500,1.92579977
0,49,0,1.798253592
0,41,2000,1.676554676
0,31,3000,1.728661239
0,44,5000,1.749771342
0,41,3500,1.576958875
0,42,3500,1.556648626
0,18,800,1.69346055
0,41,800,1.720577135
1,23,850,1.793628846
0,37,850,1.685051771
1,47,788,1.813393331
0,19,1500,1.651605414
0,35,1000,1.581273642
0,33,1200,1.735513155
1,34,800,1.618622823
0,36,2000,1.619677459
1,38,1000,1.693734834
1,33,2000,1.610727425
0,58,800,1.600100393
1,46,788,1.800521066
0,56,1300,1.619059013
0,34,2500,1.673185626
0,28,1000,1.799869738
0,27,3500,1.680026871
0,28,800,1.672872093
0,22,788,1.747933413
0,44,1500,1.717878112
0,32,1600,1.72177337
0,36,1700,1.845530572
0,39,2000,1.73888129
0,45,1000,1.836743013
1,39,100,1.726598949
1,21,788,1.735220523
0,26,1400,1.638165938
0,44,1200,1.717992835
0,40,1500,1.49861126
0,57,1300,1.680255885
0,40,600,1.651368209
0,41,900,1.727758113
0,44,1200,1.655147987
0,40,2000,1.75275962
0,44,900,1.789949139
0,51,2000,1.752622471
0,35,900,1.673762837
0,22,788,1.654788996
0,44,900,1.607891899
0,31,1500,1.686726382
0,22,788,1.567346954
0,61,10000,1.618431434
1,26,788,1.779590173
0,56,2800,1.856666759
0,53,788,1.643559757
0,37,788,1.754062252
0,24,2000,1.701151149
1,34,789,1.778533399
0,25,1500,1.686974776
1,40,2800,1.723082263
0,63,3000,1.664390525
0,36,1200,1.778775969
1,32,2000,1.604770597
0,50,1000,1.748451233
0,47,2500,1.738575623
1,45,1150,1.743459633
0,36,2000,1.711175816
0,46,5000,1.793000554
0,47,3000,1.789784135
0,56,8000,1.709297771
0,46,1200,1.673878003
0,47,2500,1.689472643
0,52,10000,1.728276901
1,23,788,1.711909504
0,38,2400,1.779836869
0,52,3000,1.639235512
0,29,1900,1.802592345
0,40,7500,1.736740461
0,58,3310,1.724049175
0,28,900,1.584638218
0,52,800,1.732961146
0,38,3500,1.6859077
0,22,1000,1.684574172
0,49,8500,1.711913319
1,59,250,1.580498823
0,42,950,1.727489959
0,40,1300,1.830929004
0,20,1500,1.661791496
1,58,2000,1.777485465
0,51,7000,1.65469875
0,62,6000,1.774268264
0,36,3400,1.741173403
1,46,788,1.653608061
0,54,1200,1.743742384
1,51,780,1.727718085
0,37,788,1.733625776
0,22,2000,1.745545114
0,21,1400,1.671334076
0,47,1800,1.574972387
1,38,900,1.684613226
0,69,1182,1.683305087
0,68,600,1.733743937
0,57,4200,1.724617047
1,36,788,1.630642529
1,47,150,1.49652401
0,59,4000,1.819988588
0,53,7000,1.788792734
1,46,1700,1.63075336
1,59,80,1.840218073
0,44,800,1.637466793
0,29,1000,1.847668727
1,50,2000,1.740231338
1,54,788,1.582048118
1,47,870,1.633458627
0,33,1200,1.661903251
0,63,200,1.74140719
1,37,1100,1.796194806
0,61,1000,1.817428265
0,42,2000,1.669562863
1,34,200,1.697745534
0,37,4300,1.758374665
0,39,2000,1.574776992
0,36,1200,1.674280747
0,56,1070,1.628137374
0,59,1000,1.831915196
0,46,800,1.783098992
0,48,5000,1.749381315
0,59,350,1.693126416
0,20,500,1.722843495
0,41,500,1.691885531
0,61,1100,1.846371672
0,27,1200,1.70121296
1,50,788,1.652795699
0,74,1000,1.576525886
1,59,400,1.48963102
0,36,788,1.759130275
0,57,150,1.54189054
0,34,3000,1.661599897
0,40,1300,1.767950664
0,52,200,1.752975967
0,29,788,1.794573155
1,59,250,1.664267692
0,43,1000,1.71799009
0,43,788,1.686677201
1,39,788,1.662565011
0,38,2000,1.803529273
1,27,600,1.632839736
0,36,600,1.608022778
0,56,4500,1.757959655
0,34,1000,1.797798255
0,61,788,1.802870341
0,32,1400,1.822337228
1,53,500,1.794157648
0,59,0,1.71723851
0,57,350,1.797763391
0,38,920,1.740909945
1,35,2400,1.60081945
1,40,800,1.774058089
0,34,4800,1.756893984
0,31,3000,1.650361065
0,34,1200,1.739312464
0,34,1500,1.516083715
0,22,2500,1.595411434
0,64,1500,1.765973824
0,53,1500,1.725466892
0,36,1500,1.801506807
0,29,1000,1.544522834
0,49,2000,1.7441112
0,35,1300,1.757073127
0,21,1200,1.628301491
1,30,1400,1.643452224
0,52,1000,1.824898197
0,37,1500,1.735052943
1,57,1000,1.742390154
0,31,2500,1.659751587
0,58,200,1.700024429
0,34,1270,1.654674812
0,49,788,1.638713738
1,31,1200,1.802602651
1,38,1500,1.723881965
0,27,45000,1.711432277
0,38,1200,1.470500966
0,48,1100,1.659497716
0,44,150,1.660081705
0,54,500,1.708818446
0,60,1500,1.629835718
0,20,1200,1.841180046
0,39,1500,1.673606441
0,51,2600,1.677800592
0,42,3500,1.632194458
0,29,2400,1.71899259
0,58,100,1.73507318
0,35,750,1.793295734
0,34,900,1.643410333
0,65,5000,1.591437177
0,58,1500,1.729774165
0,46,1000,1.795602005
0,48,5000,1.878888606
0,57,1400,1.633582728
0,33,900,1.835061062
0,43,1500,1.647803708
0,43,1200,1.600814618
0,52,788,1.632018283
0,25,788,1.818162348
0,50,2000,1.938219796
0,54,2000,1.689681081
0,50,2000,1.721098092
0,46,1200,1.80760251
1,41,2000,1.642779839
1,44,788,1.768451647
0,46,1290,1.787446875
0,34,1500,1.687085031
0,38,1200,1.779971788
0,39,2500,1.790373592
0,51,1800,1.63438931
1,56,1000,1.771446912
0,55,2500,1.659927923
0,25,1700,1.732264604
1,45,2790,1.736428899
0,50,4500,1.716311954
1,45,300,1.67693427
0,33,5000,1.554324044
1,44,800,1.700327481
1,31,900,1.769213266
0,28,788,1.716753566
1,44,788,1.685663101
0,43,2500,1.630635256
1,63,788,1.744265847
0,43,788,1.724572016
1,32,3000,1.638588786
0,41,3800,1.645344266
0,38,1250,1.674346134
0,51,7000,1.651326889
0,51,788,1.829220181
0,53,600,1.744919126
0,70,1800,1.726928865
0,35,1400,1.753004118
0,24,800,1.666092391
0,24,788,1.701570601
0,31,1300,1.759899141
0,37,788,1.738154498
0,29,788,1.719857234
0,37,9166,1.590401776
0,60,800,1.601185216
0,41,1800,1.736646997
0,53,2000,1.764600898
0,28,1200,1.601647796
1,46,830,1.735162704
0,53,1500,1.652838949
0,51,1500,1.717794781
0,36,1500,1.595072521
1,40,1200,1.802349896
0,45,2000,1.734871203
0,31,2930,1.727978431
0,53,4000,1.738939197
1,36,788,1.599621457
1,36,2000,1.71741644
1,25,3000,1.690922841
0,57,1024,1.872197277
0,45,1180,1.737031462
1,25,1024,1.668380341
1,56,1500,1.661298441
0,51,1500,1.739808863
0,52,2000,1.737023146
1,36,4000,1.668929205
0,47,1200,1.793472954
0,41,1200,1.63945453
0,36,876,1.668913269
0,65,1200,1.741768243
1,28,788,1.720581004
1,35,1050,1.714215577
0,44,1300,1.627893883
1,28,1300,1.674079918
0,55,1300,1.671770544
0,30,1100,1.731413237
0,52,2000,1.745307398
1,35,924,1.68631318
1,33,1300,1.688207437
1,53,950,1.729308485
0,45,1300,1.608898658
0,28,1100,1.651719029
0,52,1500,1.619082673
0,57,500,1.695018316
0,64,3500,1.732562628
0,18,850,1.656058521
1,29,150,1.849817114
0,30,2300,1.830687045
0,53,950,1.716740569
1,40,0,1.524765388
0,66,0,1.583388674
0,79,0,1.701305267
0,61,0,1.501365177
0,30,1000,1.784353173
1,57,0,1.857015897
0,59,2200,1.6704857
0,57,788,1.735252047
1,54,0,1.68360919
0,40,2000,1.88805068
1,35,2800,1.646633258
1,53,800,1.635723778
1,27,1500,1.821008343
1,39,900,1.65459276
1,43,500,1.810206973
0,49,2100,1.686090922
1,48,600,1.774940134
1,41,1100,1.672973537
0,45,2000,1.65206235
0,18,1300,1.6020506
1,44,788,1.798133121
0,45,1800,1.821418605
0,76,700,1.670244987
0,48,1800,1.558440775
0,45,1100,1.671353801
0,36,960,1.773339254
1,43,1200,1.768764139
0,52,1200,1.833451087
0,57,4000,1.570823445
1,36,1500,1.857665509
1,33,2800,1.75602453
1,49,2000,1.630093629
0,35,788,1.681992124
0,39,500,1.798168872
0,64,1200,1.570177157
0,17,1500,1.664838435
1,38,788,1.747170663
0,24,150,1.594984883
0,38,1500,1.771504715
0,79,788,1.60828134
0,27,850,1.692077571
0,53,5000,1.795226841
1,41,1800,1.669960483
1,52,1000,1.61824255
0,37,500,1.574998288
0,49,788,1.585016502
0,32,2000,1.704333546
0,38,7000,1.675371019
1,38,1700,1.757063361
1,36,800,1.810624385
1,48,1600,1.602868929
0,45,2300,1.765989809
0,41,2100,1.824642841
0,29,1600,1.68740102
0,27,1500,1.742067465
0,26,2000,1.661044216
1,62,5000,1.715905532
1,38,3500,1.706776733
0,30,788,1.604348712
0,32,788,1.830261405
1,58,7900,1.652553812
0,55,3500,1.742965538
0,49,7000,1.72807826
0,51,22000,1.541531313
1,49,1000,1.657550579
0,38,3500,1.738773659
0,61,3000,1.679746926
1,52,1200,1.717279175
0,36,2000,1.814042188
0,60,1200,1.731421671
0,50,1000,1.659162513
0,19,1038,1.599199489
1,39,1500,1.67380591
1,28,960,1.782378902
0,46,2000,1.690184964
1,26,1800,1.678516521
0,28,4000,1.667701065
1,67,350,1.788186562
0,53,800,1.757001214
1,60,1200,1.641231809
0,44,2000,1.69556588
0,33,2200,1.623202978
1,47,1800,1.735598267
0,41,3500,1.699669911
0,39,2500,1.72619545
0,61,1000,1.792885399
1,36,1000,1.800078178
0,62,2000,1.890473633
0,55,2300,1.728085366
0,20,1200,1.74681775
0,56,400,1.6320393
0,63,2000,1.840867827
1,39,1200,1.701507284
1,38,3000,1.674761863
0,55,1700,1.703936187
0,27,954,1.782654676
0,48,5000,1.70719226
0,27,1500,1.750377102
0,46,1700,1.626210317
0,35,6700,1.614816998
1,40,800,1.594853316
0,32,2300,1.687850978
1,37,1000,1.639267524
0,24,3800,1.809345538
0,41,788,1.767168603
1,60,2500,1.722736429
0,33,1045,1.793044565
0,59,2000,1.618819048
1,22,1600,1.79596722
0,46,8000,1.682799688
0,20,900,1.601152785
0,59,2000,1.897358
0,33,2500,1.701665687
0,65,1800,1.724195324
0,27,3800,1.743380447
0,43,2500,1.681796206
0,65,4500,1.838394168
1,46,3500,1.624286809
0,50,1100,1.65195125
1,47,1000,1.774440785
0,40,700,1.611998872
1,43,1100,1.806637121
0,44,1600,1.827703363
1,45,788,1.745952846
0,28,1600,1.492575374
0,22,3500,1.826349463
1,47,6000,1.753381034
1,53,3500,1.642661739
1,49,2000,1.811558486
0,67,2000,1.659462295
0,40,1300,1.64219712
0,59,1500,1.699605049
1,55,1000,1.746226641
0,58,1000,1.62304191
1,56,5000,1.74253391
0,50,9000,1.685859429
1,63,1600,1.581811372
1,45,6000,1.713022065
0,48,3000,1.648519552
1,51,2000,1.645657599
0,54,2600,1.645216905
1,43,1200,1.726758305
1,39,1800,1.706851287
0,46,1000,1.689483847
1,29,788,1.581963266
0,61,2000,1.742117343
0,26,4000,1.690235788
0,30,4500,1.757711932
0,37,3000,1.693724092
0,26,1400,1.704376304
0,35,1500,1.763612817
0,41,1800,1.740734374
0,26,1000,1.667498848
1,35,1720,1.752664432
0,27,1500,1.678513125
1,35,1570,1.611546457
0,30,2000,1.663763102
0,26,1200,1.593986639
0,57,7000,1.813162446
1,51,4500,1.506067212
0,24,3000,1.519803582
0,30,6000,1.716975629
1,28,900,1.75535753
0,37,1200,1.703406099
0,35,3600,1.785378725
1,25,2000,1.80207184
1,43,1000,1.70862396
0,35,10000,1.582677668
0,35,1222,1.810664153
0,50,1150,1.822057271
0,58,2000,1.663149534
1,49,500,1.544142642
0,36,900,1.716941354
0,34,1500,1.764443041
0,48,1200,1.644872702
1,37,840,1.677094289
1,51,1900,1.719349473
1,43,788,1.747745766
1,54,844,1.712286279
0,62,1600,1.724485193
0,34,1200,1.679673887
0,34,3000,1.803009957
1,29,350,1.68141006
0,63,600,1.720141552
1,45,1000,1.603697369
0,42,1007,1.664916509
1,25,800,1.60863281
1,34,2000,1.585186411
0,65,1800,1.687345219
1,28,2600,1.794668543
1,61,200,1.707159958
1,28,600,1.813213814
0,48,3000,1.599345295
1,35,400,1.607150852
0,42,1400,1.673457616
1,43,4000,1.924298533
0,54,5000,1.728140796
0,46,3000,1.921120707
1,53,2500,1.734365397
0,50,900,1.51619971
0,24,1500,1.79008
1,27,700,1.615677906
0,46,3000,1.73017852
1,28,1400,1.672533584
0,38,2000,1.726139646
0,49,2800,1.558618198
0,62,1550,1.779083323
1,18,1000,1.796513814
0,40,2000,1.722796513
1,29,1500,1.557537389
0,55,1000,1.828984596
1,29,950,1.766542798
0,44,2200,1.679794683
0,41,1300,1.573364771
0,30,3300,1.729142971
0,21,900,1.734021407
0,41,1600,1.689305949
1,60,780,1.75272209
0,51,1800,1.694896971
1,48,1200,1.728354877
0,23,1300,1.69033722
1,40,1500,1.733784478
1,47,788,1.82617711
0,21,1200,1.577059708
1,31,2800,1.646454246
0,49,5000,1.69866578
0,30,1500,1.57475184
1,49,800,1.724981677
0,58,2000,1.822929432
1,49,2200,1.818477329
0,64,2500,1.736836156
0,43,4000,1.744176774
1,51,3200,1.66583653
0,34,3000,1.605012874
1,32,2500,1.71016813
0,70,1100,1.6466355
1,31,1200,1.615880205
1,40,2400,1.690350053
0,49,3000,1.654899137
0,52,2500,1.629802604
0,56,3000,1.593647031
0,25,1500,1.545540923
1,21,1150,1.698353888
1,36,1050,1.846500001
0,22,1400,1.686215049
1,25,820,1.736413539
0,32,1200,1.634044871
0,28,1600,1.685822341
0,35,1680,1.855013993
0,26,1800,1.664985039
0,25,1300,1.714345073
1,46,1500,1.766690691
0,43,1800,1.754781102
0,53,1800,1.707265909
0,23,1050,1.600645438
1,54,1400,1.720025678
0,22,1200,1.786171489
0,30,2365,1.71899992
0,51,2200,1.717220136
1,49,4500,1.684784348
0,45,1400,1.789865471
0,31,1500,1.563385573
0,27,1500,1.699110023
1,30,3000,1.670378873
1,35,788,1.824210999
0,42,2500,1.595249299
0,56,2800,1.775213767
0,30,2000,1.624182805
0,37,1500,1.806207854
1,50,1000,1.775830515
1,48,1000,1.776593531
1,36,1300,1.662675412
0,33,788,1.728649124
1,24,2500,1.73401874
0,55,3000,1.674616876
0,38,1700,1.750534124
1,59,3200,1.599326047
0,37,1800,1.735564323
1,45,800,1.71992514
0,40,5500,1.701502321
0,43,3500,1.608656186
1,22,788,1.695728684
1,49,900,1.683232909
1,40,900,1.662915384
1,44,700,1.718729117
0,54,780,1.790763378
1,53,788,1.756525875
1,42,850,1.787786535
1,43,1500,1.771291987
1,59,300,1.78165001
0,36,3000,1.663732988
0,40,2500,1.536050239
1,39,1200,1.419618456
1,41,3500,1.823266515
1,34,3500,1.838548885
0,40,2000,1.82543984
1,37,800,1.629946598
0,43,1150,1.603255879
0,36,1900,1.677802145
0,46,1400,1.643106808
0,32,1300,1.707614337
0,26,960,1.876895953
0,35,900,1.808651496
0,35,2400,1.808315778
0,36,2000,1.701595416
1,32,2100,1.660058292
1,43,1900,1.610528858
0,22,1200,1.714157607
0,35,1900,1.570984493
0,28,1600,1.482956365
1,29,12500,1.735649839
0,36,5000,1.629585092
0,54,5000,1.615366013
1,53,6800,1.540516845
1,53,4000,1.780503606
1,27,2200,1.610457277
0,66,5000,1.613725512
1,33,10000,1.757384491
0,29,3000,1.693517771
1,38,1000,1.629281528
0,51,3000,1.804489156
0,31,1400,1.756453952
1,18,1000,1.627170195
1,43,3000,1.762774289
0,41,1200,1.717912089
0,45,2500,1.824766752
0,25,1300,1.686037074
1,40,827,1.605269929
0,51,1200,1.806127394
0,30,2100,1.710758902
0,77,0,1.800514911
1,27,35,1.713557882
0,20,1300,1.64556071
0,58,700,1.696035984
0,33,800,1.739771463
1,38,1500,1.678607347
1,39,300,1.746847063
1,50,200,1.739222554
0,22,2000,1.711819574
0,30,788,1.714301023
0,59,2000,1.69846794
0,75,300,1.691659565
0,51,3800,1.714948765
0,36,2000,1.696446939
0,35,5000,1.674291452
0,46,3800,1.632864158
1,60,1000,1.703384883
0,29,5000,1.705588902
1,24,1600,1.8708646
1,56,1500,1.653398054
0,62,900,1.734637234
0,47,3000,1.767155267
1,45,1800,1.636917275
0,45,500,1.801652212
0,57,1500,1.764778947
0,38,5000,1.775783543
0,41,3000,1.636514241
0,40,1200,1.772920659
0,39,1200,1.792668542
0,35,1200,1.822955781
0,42,3500,1.734192423
1,46,1200,1.668984881
0,55,1000,1.706520871
0,30,3500,1.731694429
0,29,6000,1.786530411
1,52,3500,1.754302005
0,58,10000,1.831782606
0,26,1400,1.554683061
0,50,1600,1.691954564
0,56,1400,1.724927253
0,53,788,1.661365923
0,59,5000,1.667740428
0,33,50000,1.632055507
1,44,872,1.59688203
0,59,3000,1.822128452
1,46,1000,1.647607354
1,56,1000,1.680921722
1,24,1500,1.638959459
0,44,920,1.801979099
0,42,788,1.678968991
0,28,2000,1.759103865
1,59,1100,1.678117985
1,48,1900,1.600557119
1,36,600,1.703238895
0,35,788,1.712143298
0,45,1000,1.590174106
0,46,3000,1.654622515
0,34,2600,1.614655069
1,33,1200,1.750118127
0,42,1200,1.729516447
1,39,9000,1.695269526
0,33,1200,1.736017572
0,55,2000,1.684450614
0,57,1000,1.717079505
0,54,1500,1.618100148
0,33,1000,1.720306493
0,65,600,1.768409003
0,47,1000,1.582617152
0,43,788,1.678112036
0,70,1000,1.550216392
0,51,788,1.714598703
0,49,1100,1.722389373
0,66,500,1.761616963
0,23,788,1.736553547
0,49,400,1.787658223
0,41,2200,1.586687003
0,57,3000,1.554835442
0,45,350,1.696601994
0,38,1200,1.715629248
0,34,300,1.821046842
1,50,3600,1.647177423
0,43,700,1.789768516
1,36,3200,1.764925114
0,35,1900,1.758190673
1,34,850,1.657290477
0,39,800,1.611025539
0,31,1100,1.684367737
1,41,788,1.816347188
1,52,250,1.780940748
0,37,1500,1.578468328
1,26,830,1.72200488
0,63,3100,1.75452349
0,53,2000,1.743665175
0,42,500,1.757978822
0,30,4000,1.773852901
0,24,912,1.682589977
1,34,9000,1.634008657
0,30,1500,1.582782181
0,33,3000,1.765745909
0,42,500,1.599556038
0,35,3000,1.740644217
0,37,550,1.682509011
0,28,1380,1.762091988
0,34,1200,1.651738749
1,53,400,1.686081685
0,48,10000,1.698279836
1,43,3500,1.630097439
1,50,850,1.750732229
0,45,2000,1.715607315
0,30,700,1.576268431
0,27,2800,1.835924863
0,42,1200,1.520590573
1,42,788,1.648684028
0,74,400,1.654439297
0,29,3000,1.698113914
0,37,1500,1.687114022
1,40,400,1.598936606
0,52,1200,1.749799275
0,36,3000,1.839090836
1,59,2000,1.747969321
0,33,900,1.753654496
1,28,1000,1.71267166
0,54,833,1.705382141
0,26,1500,1.77670076
0,36,2000,1.691071562
0,43,1000,1.77168916
0,45,2000,1.673878407
0,33,6000,1.667905732
0,44,1500,1.699595834
1,57,1700,1.783376635
0,49,1950,1.625062937
0,62,700,1.56215369
1,50,0,1.648279866
0,46,1500,1.652718392
0,26,1000,1.823989009
0,44,4000,1.682229304
0,56,7400,1.621325659
0,36,2000,1.634493449
1,18,1300,1.638182459
0,47,2500,1.717048931
0,56,2000,1.696290878
0,65,2160,1.77311366
1,52,5000,1.598985213
0,34,3000,1.644955989
0,23,2000,1.701008422
0,55,900,1.63104285
1,36,800,1.622086136
1,49,1000,1.452612925
1,38,1100,1.92963933
0,55,1576,1.784771069
0,23,1500,1.767414645
1,19,876,1.581032042
